iter	Passed	Remaining
0	1	177
1	2	136
2	3	120
3	4	110
4	5	107
5	6	105
6	7	104
7	9	103
8	10	104
9	11	104
10	12	103
11	13	101
12	14	99
13	16	98
14	17	99
15	18	98
16	20	97
17	21	96
18	22	97
19	24	98
20	26	99
21	27	98
22	29	97
23	30	96
24	31	94
25	32	93
26	33	91
27	35	90
28	36	89
29	37	87
30	39	87
31	40	85
32	41	84
33	42	82
34	43	81
35	44	79
36	45	77
37	47	77
38	48	75
39	49	74
40	52	74
41	52	73
42	54	71
43	56	71
44	57	70
45	58	68
46	60	68
47	61	66
48	63	66
49	64	64
50	65	63
51	67	62
52	69	61
53	70	60
54	71	58
55	72	57
56	74	56
57	80	58
58	82	57
59	83	55
60	84	54
61	86	53
62	87	51
63	89	50
64	90	48
65	91	46
66	92	45
67	93	43
68	94	42
69	95	41
70	96	39
71	97	38
72	98	36
73	100	35
74	101	33
75	103	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	109	24
82	110	22
83	111	21
84	112	19
85	114	18
86	115	17
87	116	15
88	117	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	123	6
95	124	5
96	125	3
97	126	2
98	127	1
99	128	0
